,"X,Y,Z,Sequence"
231,"-0.36758583784103394,5.753939151763916,7.841759204864502,231"
232,"-0.36758583784103394,5.753939151763916,7.841759204864502,232"
233,"-0.36758583784103394,5.753939151763916,7.841759204864502,233"
234,"-0.36758583784103394,5.753939151763916,7.841759204864502,234"
235,"-0.36758583784103394,5.753939151763916,7.841759204864502,235"
236,"-0.36758583784103394,5.753939151763916,7.841759204864502,236"
237,"-0.36758583784103394,5.753939151763916,7.841759204864502,237"
238,"-0.36758583784103394,5.753939151763916,7.841759204864502,238"
239,"-0.36758583784103394,5.753939151763916,7.841759204864502,239"
240,"-0.36758583784103394,5.753939151763916,7.841759204864502,240"
241,"-0.36758583784103394,5.753939151763916,7.841759204864502,241"
242,"-0.36758583784103394,5.753939151763916,7.841759204864502,242"
243,"-0.36758583784103394,5.753939151763916,7.841759204864502,243"
244,"-0.36758583784103394,5.753939151763916,7.841759204864502,244"
245,"-0.36758583784103394,5.753939151763916,7.841759204864502,245"
246,"-0.36758583784103394,5.753939151763916,7.841759204864502,246"
247,"-0.36758583784103394,5.753939151763916,7.841759204864502,247"
248,"-0.36758583784103394,5.753939151763916,7.841759204864502,248"
249,"-0.36758583784103394,5.753939151763916,7.841759204864502,249"
250,"-0.36758583784103394,5.753939151763916,7.841759204864502,250"
251,"-0.36758583784103394,5.753939151763916,7.841759204864502,251"
252,"-0.36758583784103394,5.753939151763916,7.841759204864502,252"
253,"-0.36758583784103394,5.753939151763916,7.841759204864502,253"
254,"-0.36758583784103394,5.753939151763916,7.841759204864502,254"
255,"-0.36758583784103394,5.753939151763916,7.841759204864502,255"
256,"-0.36758583784103394,5.753939151763916,7.841759204864502,256"
257,"-0.36758583784103394,5.753939151763916,7.841759204864502,257"
258,"-0.36758583784103394,5.753939151763916,7.841759204864502,258"
259,"-0.36758583784103394,5.753939151763916,7.841759204864502,259"
260,"-0.36758583784103394,5.753939151763916,7.841759204864502,260"
261,"-0.36758583784103394,5.753939151763916,7.841759204864502,261"
262,"-0.36758583784103394,5.753939151763916,7.841759204864502,262"
263,"-0.36758583784103394,5.753939151763916,7.841759204864502,263"
264,"-0.36758583784103394,5.753939151763916,7.841759204864502,264"
265,"-0.36758583784103394,5.753939151763916,7.841759204864502,265"
266,"-0.36758583784103394,5.753939151763916,7.841759204864502,266"
267,"-0.36758583784103394,5.753939151763916,7.841759204864502,267"
268,"-0.36758583784103394,5.753939151763916,7.841759204864502,268"
269,"-0.36758583784103394,5.753939151763916,7.841759204864502,269"
270,"-0.36758583784103394,5.753939151763916,7.841759204864502,270"
271,"-0.36758583784103394,5.753939151763916,7.841759204864502,271"
272,"-0.36758583784103394,5.753939151763916,7.841759204864502,272"
273,"-0.36758583784103394,5.753939151763916,7.841759204864502,273"
274,"-0.36758583784103394,5.753939151763916,7.841759204864502,274"
275,"-0.36758583784103394,5.753939151763916,7.841759204864502,275"
276,"-0.36758583784103394,5.753939151763916,7.841759204864502,276"
277,"-0.36758583784103394,5.753939151763916,7.841759204864502,277"
278,"-0.36758583784103394,5.753939151763916,7.841759204864502,278"
279,"-0.36758583784103394,5.753939151763916,7.841759204864502,279"
280,"-0.36758583784103394,5.753939151763916,7.841759204864502,280"
281,"-0.36758583784103394,5.753939151763916,7.841759204864502,281"
282,"-0.36758583784103394,5.753939151763916,7.841759204864502,282"
283,"-0.36758583784103394,5.753939151763916,7.841759204864502,283"
284,"-0.36758583784103394,5.753939151763916,7.841759204864502,284"
285,"-0.36758583784103394,5.753939151763916,7.841759204864502,285"
286,"-0.36758583784103394,5.753939151763916,7.841759204864502,286"
287,"-0.36758583784103394,5.753939151763916,7.841759204864502,287"
288,"-0.36758583784103394,5.753939151763916,7.841759204864502,288"
289,"-0.36758583784103394,5.753939151763916,7.841759204864502,289"
290,"-0.36758583784103394,5.753939151763916,7.841759204864502,290"
291,"-0.36758583784103394,5.753939151763916,7.841759204864502,291"
292,"-0.36758583784103394,5.753939151763916,7.841759204864502,292"
293,"-0.36758583784103394,5.753939151763916,7.841759204864502,293"
294,"-0.36758583784103394,5.753939151763916,7.841759204864502,294"
295,"-0.36758583784103394,5.753939151763916,7.841759204864502,295"
296,"-0.36758583784103394,5.753939151763916,7.841759204864502,296"
297,"-0.36758583784103394,5.753939151763916,7.841759204864502,297"
298,"-0.36758583784103394,5.753939151763916,7.841759204864502,298"
299,"-0.36758583784103394,5.753939151763916,7.841759204864502,299"
300,"-0.36758583784103394,5.753939151763916,7.841759204864502,300"
301,"-0.36758583784103394,5.753939151763916,7.841759204864502,301"
302,"-0.36758583784103394,5.753939151763916,7.841759204864502,302"
303,"-0.36758583784103394,5.753939151763916,7.841759204864502,303"
304,"-0.36758583784103394,5.753939151763916,7.841759204864502,304"
305,"-0.36758583784103394,5.753939151763916,7.841759204864502,305"
306,"-0.36758583784103394,5.753939151763916,7.841759204864502,306"
307,"-0.36758583784103394,5.753939151763916,7.841759204864502,307"
308,"-0.36758583784103394,5.753939151763916,7.841759204864502,308"
309,"-0.36758583784103394,5.753939151763916,7.841759204864502,309"
310,"-0.36758583784103394,5.753939151763916,7.841759204864502,310"
311,"-0.36758583784103394,5.753939151763916,7.841759204864502,311"
