,"X,Y,Z,Sequence"
434,"-0.36758583784103394,5.753939151763916,7.841759204864502,434"
435,"-0.36758583784103394,5.753939151763916,7.841759204864502,435"
436,"-0.36758583784103394,5.753939151763916,7.841759204864502,436"
437,"-0.36758583784103394,5.753939151763916,7.841759204864502,437"
438,"-0.36758583784103394,5.753939151763916,7.841759204864502,438"
439,"-0.36758583784103394,5.753939151763916,7.841759204864502,439"
440,"-0.36758583784103394,5.753939151763916,7.841759204864502,440"
441,"-0.36758583784103394,5.753939151763916,7.841759204864502,441"
442,"-0.36758583784103394,5.753939151763916,7.841759204864502,442"
443,"-0.36758583784103394,5.753939151763916,7.841759204864502,443"
444,"-0.36758583784103394,5.753939151763916,7.841759204864502,444"
445,"-0.36758583784103394,5.753939151763916,7.841759204864502,445"
446,"-0.36758583784103394,5.753939151763916,7.841759204864502,446"
447,"-0.36758583784103394,5.753939151763916,7.841759204864502,447"
448,"-0.36758583784103394,5.753939151763916,7.841759204864502,448"
449,"-0.36758583784103394,5.753939151763916,7.841759204864502,449"
450,"-0.36758583784103394,5.753939151763916,7.841759204864502,450"
451,"-0.36758583784103394,5.753939151763916,7.841759204864502,451"
452,"-0.36758583784103394,5.753939151763916,7.841759204864502,452"
453,"-0.36758583784103394,5.753939151763916,7.841759204864502,453"
454,"-0.36758583784103394,5.753939151763916,7.841759204864502,454"
455,"-0.36758583784103394,5.753939151763916,7.841759204864502,455"
456,"-0.36758583784103394,5.753939151763916,7.841759204864502,456"
457,"-0.36758583784103394,5.753939151763916,7.841759204864502,457"
458,"-0.36758583784103394,5.753939151763916,7.841759204864502,458"
459,"-0.36758583784103394,5.753939151763916,7.841759204864502,459"
460,"-0.36758583784103394,5.753939151763916,7.841759204864502,460"
461,"-0.36758583784103394,5.753939151763916,7.841759204864502,461"
462,"-0.36758583784103394,5.753939151763916,7.841759204864502,462"
463,"-0.36758583784103394,5.753939151763916,7.841759204864502,463"
464,"-0.36758583784103394,5.753939151763916,7.841759204864502,464"
465,"-0.36758583784103394,5.753939151763916,7.841759204864502,465"
466,"-0.36758583784103394,5.753939151763916,7.841759204864502,466"
467,"-0.36758583784103394,5.753939151763916,7.841759204864502,467"
468,"-0.36758583784103394,5.753939151763916,7.841759204864502,468"
469,"-0.36758583784103394,5.753939151763916,7.841759204864502,469"
470,"-0.36758583784103394,5.753939151763916,7.841759204864502,470"
471,"-0.36758583784103394,5.753939151763916,7.841759204864502,471"
472,"-0.36758583784103394,5.753939151763916,7.841759204864502,472"
473,"-0.36758583784103394,5.753939151763916,7.841759204864502,473"
474,"-0.36758583784103394,5.753939151763916,7.841759204864502,474"
475,"-0.36758583784103394,5.753939151763916,7.841759204864502,475"
476,"-0.36758583784103394,5.753939151763916,7.841759204864502,476"
477,"-0.36758583784103394,5.753939151763916,7.841759204864502,477"
478,"-0.36758583784103394,5.753939151763916,7.841759204864502,478"
479,"-0.36758583784103394,5.753939151763916,7.841759204864502,479"
480,"-0.36758583784103394,5.753939151763916,7.841759204864502,480"
481,"-0.36758583784103394,5.753939151763916,7.841759204864502,481"
482,"-0.36758583784103394,5.753939151763916,7.841759204864502,482"
483,"-0.36758583784103394,5.753939151763916,7.841759204864502,483"
484,"-0.36758583784103394,5.753939151763916,7.841759204864502,484"
485,"-0.36758583784103394,5.753939151763916,7.841759204864502,485"
486,"-0.36758583784103394,5.753939151763916,7.841759204864502,486"
487,"-0.36758583784103394,5.753939151763916,7.841759204864502,487"
488,"-0.36758583784103394,5.753939151763916,7.841759204864502,488"
489,"-0.36758583784103394,5.753939151763916,7.841759204864502,489"
490,"-0.36758583784103394,5.753939151763916,7.841759204864502,490"
491,"-0.36758583784103394,5.753939151763916,7.841759204864502,491"
492,"-0.36758583784103394,5.753939151763916,7.841759204864502,492"
493,"-0.36758583784103394,5.753939151763916,7.841759204864502,493"
494,"-0.36758583784103394,5.753939151763916,7.841759204864502,494"
495,"-0.36758583784103394,5.753939151763916,7.841759204864502,495"
496,"-0.36758583784103394,5.753939151763916,7.841759204864502,496"
497,"-0.36758583784103394,5.753939151763916,7.841759204864502,497"
498,"-0.36758583784103394,5.753939151763916,7.841759204864502,498"
499,"-0.36758583784103394,5.753939151763916,7.841759204864502,499"
500,"-0.36758583784103394,5.753939151763916,7.841759204864502,500"
501,"-0.36758583784103394,5.753939151763916,7.841759204864502,501"
502,"-0.36758583784103394,5.753939151763916,7.841759204864502,502"
503,"-0.36758583784103394,5.753939151763916,7.841759204864502,503"
504,"-0.36758583784103394,5.753939151763916,7.841759204864502,504"
505,"-0.36758583784103394,5.753939151763916,7.841759204864502,505"
506,"-0.36758583784103394,5.753939151763916,7.841759204864502,506"
507,"-0.36758583784103394,5.753939151763916,7.841759204864502,507"
508,"-0.36758583784103394,5.753939151763916,7.841759204864502,508"
509,"-0.36758583784103394,5.753939151763916,7.841759204864502,509"
510,"-0.36758583784103394,5.753939151763916,7.841759204864502,510"
511,"-0.36758583784103394,5.753939151763916,7.841759204864502,511"
512,"-0.36758583784103394,5.753939151763916,7.841759204864502,512"
513,"-0.36758583784103394,5.753939151763916,7.841759204864502,513"
514,"-0.36758583784103394,5.753939151763916,7.841759204864502,514"
515,"-0.36758583784103394,5.753939151763916,7.841759204864502,515"
516,"-0.36758583784103394,5.753939151763916,7.841759204864502,516"
517,"-0.36758583784103394,5.753939151763916,7.841759204864502,517"
518,"-0.36758583784103394,5.753939151763916,7.841759204864502,518"
519,"-0.36758583784103394,5.753939151763916,7.841759204864502,519"
520,"-0.36758583784103394,5.753939151763916,7.841759204864502,520"
521,"-0.36758583784103394,5.753939151763916,7.841759204864502,521"
522,"-0.36758583784103394,5.753939151763916,7.841759204864502,522"
523,"-0.36758583784103394,5.753939151763916,7.841759204864502,523"
524,"-0.36758583784103394,5.753939151763916,7.841759204864502,524"
525,"-0.36758583784103394,5.753939151763916,7.841759204864502,525"
526,"-0.36758583784103394,5.753939151763916,7.841759204864502,526"
527,"-0.36758583784103394,5.753939151763916,7.841759204864502,527"
528,"-0.36758583784103394,5.753939151763916,7.841759204864502,528"
529,"-0.36758583784103394,5.753939151763916,7.841759204864502,529"
530,"-0.36758583784103394,5.753939151763916,7.841759204864502,530"
531,"-0.36758583784103394,5.753939151763916,7.841759204864502,531"
532,"-0.36758583784103394,5.753939151763916,7.841759204864502,532"
533,"-0.36758583784103394,5.753939151763916,7.841759204864502,533"
534,"-0.36758583784103394,5.753939151763916,7.841759204864502,534"
535,"-0.36758583784103394,5.753939151763916,7.841759204864502,535"
536,"-0.36758583784103394,5.753939151763916,7.841759204864502,536"
537,"-0.36758583784103394,5.753939151763916,7.841759204864502,537"
538,"-0.36758583784103394,5.753939151763916,7.841759204864502,538"
539,"-0.36758583784103394,5.753939151763916,7.841759204864502,539"
540,"-0.36758583784103394,5.753939151763916,7.841759204864502,540"
541,"-0.36758583784103394,5.753939151763916,7.841759204864502,541"
542,"-0.36758583784103394,5.753939151763916,7.841759204864502,542"
543,"-0.36758583784103394,5.753939151763916,7.841759204864502,543"
544,"-0.36758583784103394,5.753939151763916,7.841759204864502,544"
545,"-0.36758583784103394,5.753939151763916,7.841759204864502,545"
546,"-0.36758583784103394,5.753939151763916,7.841759204864502,546"
547,"-0.36758583784103394,5.753939151763916,7.841759204864502,547"
548,"-0.36758583784103394,5.753939151763916,7.841759204864502,548"
549,"-0.36758583784103394,5.753939151763916,7.841759204864502,549"
550,"-0.36758583784103394,5.753939151763916,7.841759204864502,550"
551,"-0.36758583784103394,5.753939151763916,7.841759204864502,551"
552,"-0.36758583784103394,5.753939151763916,7.841759204864502,552"
553,"-0.36758583784103394,5.753939151763916,7.841759204864502,553"
554,"-0.36758583784103394,5.753939151763916,7.841759204864502,554"
555,"-0.36758583784103394,5.753939151763916,7.841759204864502,555"
556,"-0.36758583784103394,5.753939151763916,7.841759204864502,556"
557,"-0.36758583784103394,5.753939151763916,7.841759204864502,557"
558,"-0.36758583784103394,5.753939151763916,7.841759204864502,558"
559,"-0.36758583784103394,5.753939151763916,7.841759204864502,559"
560,"-0.36758583784103394,5.753939151763916,7.841759204864502,560"
561,"-0.36758583784103394,5.753939151763916,7.841759204864502,561"
562,"-0.36758583784103394,5.753939151763916,7.841759204864502,562"
563,"-0.36758583784103394,5.753939151763916,7.841759204864502,563"
564,"-0.36758583784103394,5.753939151763916,7.841759204864502,564"
565,"-0.36758583784103394,5.753939151763916,7.841759204864502,565"
566,"-0.36758583784103394,5.753939151763916,7.841759204864502,566"
567,"-0.36758583784103394,5.753939151763916,7.841759204864502,567"
568,"-0.36758583784103394,5.753939151763916,7.841759204864502,568"
569,"-0.36758583784103394,5.753939151763916,7.841759204864502,569"
570,"-0.36758583784103394,5.753939151763916,7.841759204864502,570"
571,"-0.36758583784103394,5.753939151763916,7.841759204864502,571"
572,"-0.36758583784103394,5.753939151763916,7.841759204864502,572"
573,"-0.36758583784103394,5.753939151763916,7.841759204864502,573"
574,"-0.36758583784103394,5.753939151763916,7.841759204864502,574"
575,"-0.36758583784103394,5.753939151763916,7.841759204864502,575"
576,"-0.36758583784103394,5.753939151763916,7.841759204864502,576"
577,"-0.36758583784103394,5.753939151763916,7.841759204864502,577"
578,"-0.36758583784103394,5.753939151763916,7.841759204864502,578"
579,"-0.36758583784103394,5.753939151763916,7.841759204864502,579"
580,"-0.36758583784103394,5.753939151763916,7.841759204864502,580"
581,"-0.36758583784103394,5.753939151763916,7.841759204864502,581"
582,"-0.36758583784103394,5.753939151763916,7.841759204864502,582"
583,"-0.36758583784103394,5.753939151763916,7.841759204864502,583"
584,"-0.36758583784103394,5.753939151763916,7.841759204864502,584"
585,"-0.36758583784103394,5.753939151763916,7.841759204864502,585"
586,"-0.36758583784103394,5.753939151763916,7.841759204864502,586"
587,"-0.36758583784103394,5.753939151763916,7.841759204864502,587"
588,"-0.36758583784103394,5.753939151763916,7.841759204864502,588"
589,"-0.36758583784103394,5.753939151763916,7.841759204864502,589"
590,"-0.36758583784103394,5.753939151763916,7.841759204864502,590"
591,"-0.36758583784103394,5.753939151763916,7.841759204864502,591"
592,"-0.36758583784103394,5.753939151763916,7.841759204864502,592"
593,"-0.36758583784103394,5.753939151763916,7.841759204864502,593"
594,"-0.36758583784103394,5.753939151763916,7.841759204864502,594"
595,"-0.36758583784103394,5.753939151763916,7.841759204864502,595"
596,"-0.36758583784103394,5.753939151763916,7.841759204864502,596"
597,"-0.36758583784103394,5.753939151763916,7.841759204864502,597"
598,"-0.36758583784103394,5.753939151763916,7.841759204864502,598"
599,"-0.36758583784103394,5.753939151763916,7.841759204864502,599"
600,"-0.36758583784103394,5.753939151763916,7.841759204864502,600"
601,"-0.36758583784103394,5.753939151763916,7.841759204864502,601"
602,"-0.36758583784103394,5.753939151763916,7.841759204864502,602"
603,"-0.36758583784103394,5.753939151763916,7.841759204864502,603"
604,"-0.36758583784103394,5.753939151763916,7.841759204864502,604"
605,"-0.36758583784103394,5.753939151763916,7.841759204864502,605"
606,"-0.36758583784103394,5.753939151763916,7.841759204864502,606"
607,"-0.36758583784103394,5.753939151763916,7.841759204864502,607"
608,"-0.36758583784103394,5.753939151763916,7.841759204864502,608"
609,"-0.36758583784103394,5.753939151763916,7.841759204864502,609"
610,"-0.36758583784103394,5.753939151763916,7.841759204864502,610"
611,"-0.36758583784103394,5.753939151763916,7.841759204864502,611"
612,"-0.36758583784103394,5.753939151763916,7.841759204864502,612"
613,"-0.36758583784103394,5.753939151763916,7.841759204864502,613"
614,"-0.36758583784103394,5.753939151763916,7.841759204864502,614"
615,"-0.36758583784103394,5.753939151763916,7.841759204864502,615"
616,"-0.36758583784103394,5.753939151763916,7.841759204864502,616"
617,"-0.36758583784103394,5.753939151763916,7.841759204864502,617"
618,"-0.36758583784103394,5.753939151763916,7.841759204864502,618"
619,"-0.36758583784103394,5.753939151763916,7.841759204864502,619"
620,"-0.36758583784103394,5.753939151763916,7.841759204864502,620"
621,"-0.36758583784103394,5.753939151763916,7.841759204864502,621"
622,"-0.36758583784103394,5.753939151763916,7.841759204864502,622"
623,"-0.36758583784103394,5.753939151763916,7.841759204864502,623"
624,"-0.36758583784103394,5.753939151763916,7.841759204864502,624"
625,"-0.36758583784103394,5.753939151763916,7.841759204864502,625"
626,"-0.36758583784103394,5.753939151763916,7.841759204864502,626"
627,"-0.36758583784103394,5.753939151763916,7.841759204864502,627"
628,"-0.36758583784103394,5.753939151763916,7.841759204864502,628"
629,"-0.36758583784103394,5.753939151763916,7.841759204864502,629"
630,"-0.36758583784103394,5.753939151763916,7.841759204864502,630"
631,"-0.36758583784103394,5.753939151763916,7.841759204864502,631"
632,"-0.36758583784103394,5.753939151763916,7.841759204864502,632"
633,"-0.36758583784103394,5.753939151763916,7.841759204864502,633"
634,"-0.36758583784103394,5.753939151763916,7.841759204864502,634"
635,"-0.36758583784103394,5.753939151763916,7.841759204864502,635"
636,"-0.36758583784103394,5.753939151763916,7.841759204864502,636"
637,"-0.36758583784103394,5.753939151763916,7.841759204864502,637"
638,"-0.36758583784103394,5.753939151763916,7.841759204864502,638"
639,"-0.36758583784103394,5.753939151763916,7.841759204864502,639"
640,"-0.36758583784103394,5.753939151763916,7.841759204864502,640"
641,"-0.36758583784103394,5.753939151763916,7.841759204864502,641"
642,"-0.36758583784103394,5.753939151763916,7.841759204864502,642"
643,"-0.36758583784103394,5.753939151763916,7.841759204864502,643"
644,"-0.36758583784103394,5.753939151763916,7.841759204864502,644"
645,"-0.36758583784103394,5.753939151763916,7.841759204864502,645"
646,"-0.36758583784103394,5.753939151763916,7.841759204864502,646"
647,"-0.36758583784103394,5.753939151763916,7.841759204864502,647"
648,"-0.36758583784103394,5.753939151763916,7.841759204864502,648"
649,"-0.36758583784103394,5.753939151763916,7.841759204864502,649"
650,"-0.36758583784103394,5.753939151763916,7.841759204864502,650"
651,"-0.36758583784103394,5.753939151763916,7.841759204864502,651"
652,"-0.36758583784103394,5.753939151763916,7.841759204864502,652"
653,"-0.36758583784103394,5.753939151763916,7.841759204864502,653"
654,"-0.36758583784103394,5.753939151763916,7.841759204864502,654"
655,"-0.36758583784103394,5.753939151763916,7.841759204864502,655"
656,"-0.36758583784103394,5.753939151763916,7.841759204864502,656"
657,"-0.36758583784103394,5.753939151763916,7.841759204864502,657"
658,"-0.36758583784103394,5.753939151763916,7.841759204864502,658"
659,"-0.36758583784103394,5.753939151763916,7.841759204864502,659"
660,"-0.36758583784103394,5.753939151763916,7.841759204864502,660"
661,"-0.36758583784103394,5.753939151763916,7.841759204864502,661"
662,"-0.36758583784103394,5.753939151763916,7.841759204864502,662"
663,"-0.36758583784103394,5.753939151763916,7.841759204864502,663"
664,"-0.36758583784103394,5.753939151763916,7.841759204864502,664"
665,"-0.36758583784103394,5.753939151763916,7.841759204864502,665"
